name,display_name,description,height,color
Bulbasaur,Bulbasaur,"The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.","0.6 to 0.8",Green
Ivysaur,Ivysaur,"The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.","0.9 to 1.0",Green
Venusaur,Venusaur,"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime.","1.7 to 8.8",Green
Charmander,Charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.","0.6 to 0.8",Red
Charmeleon,Charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels.","1.1 to 1.3",Red
Charizard,Charizard,"Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.","1.7 to 8.8",Red
Squirtle,Squirtle,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.","0.2 to 0.5",Blue
Wartortle,Wartortle,"Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKéMONs toughness in battle.","0.9 to 1.0",Blue
Blastoise,Blastoise,"A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.","1.4 to 1.6",Blue
Caterpie,Caterpie,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies.","0.2 to 0.5",Green
Metapod,Metapod,"This is its pre-evolved form. At this stage, it can only harden, so it remains motionless to avoid attack.","0.6 to 0.8",Green
Butterfree,Butterfree,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.","1.1 to 1.3",White
Weedle,Weedle,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.","0.2 to 0.5",Brown
Kakuna,Kakuna,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.","0.6 to 0.8",Yellow
Beedrill,Beedrill,"It can take down any opponent with its powerful poi son stingers. It sometimes attacks in swarms.","0.9 to 1.0",Yellow
Pidgey,Pidgey,"It has an extremely sharp sense of direction. It can unerringly return home to its nest, however far it may be removed from its familiar surroundings.","0.2 to 0.5",Brown
Pidgeotto,Pidgeotto,"PIDGEOTTO claims a large area as its own territory. This POKéMON flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","1.1 to 1.3",Brown
