Name,Description,Conference,State,Primary Colors,Mascot,Mascot Genre,Football Titles
Boston College,,ACC,Massachusetts,"Maroon, Gold",Eagles,"Animal, Bird",0
Clemson,,ACC,South Carolina,"Orange, Purple",Tigers,"Animal, Cat",1
Duke,,ACC,North Carolina,"Blue, White",Blue Devils,"Other, Human",0
Florida State,,ACC,Florida,"Maroon, Gold",Seminoles,"Animal, Human",8
Georgia Tech,,ACC,Georgia,"Gold, White",Yellow Jackets,"Other, Insect",6
Louisville,,ACC,Kentucky,"Red, Black",Cardinals,"Animal, Bird",0
Miami,,ACC,Florida,"Orange, Green",Hurricanes,Other,9
North Carolina,,ACC,North Carolina,"Blue, White",Tar Heels,"Animal, Other",0
North Carolina State,,ACC,North Carolina,"Red, White",Wolfpack,"Animal, Dog",0
Pittsburgh,,ACC,Pennsylvania,"Blue, Gold",Panthers,"Animal, Cat",11
Syracuse,,ACC,New York,"Orange, Blue",Orange,"Other, Color",1
Virginia,,ACC,Virginia,"Blue, Orange",Cavaliers,"Animal, Human",0
Virginia Tech,,ACC,Virginia,"Orange, Maroon",Hokies,"Other, Bird",0
Wake Forest,,ACC,North Carolina,"Black, Yellow",Demon Deacons,"Other, Human",0
Baylor,,Big 12,Texas,"Green, Gold",Bears,"Mammal, Bear",0
Iowa State,,Big 12,Iowa,"Yellow, Red",Cyclones,Other,0
Kansas,,Big 12,Kansas,"Blue, White",Jayhawks,"Other, Bird",0
Kansas State,,Big 12,Kansas,"Gray, Purple",Wildcats,"Animal, Cat",0
Oklahoma,,Big 12,Oklahoma,"Red, White",Sooners,"Other, Human",17
Oklhoma State,,Big 12,Oklahoma,"Orange, Black",Cowboys,"Animal, Human",1
TCU,,Big 12,Texas,"Purple, White",Horned Frogs,"Animal, Other",3
Texas,,Big 12,Texas,"Orange, White",Longhorns,"Animal, Other",9
Texas Tech,,Big 12,Texas,"Red, Black",Red Raiders,"Other, Human",0
West Virginia,,Big 12,West Virginia,"Yellow, Blue",Mountaineers,"Animal, Human",0
Illinois,,Big Ten,Illinois,"Orange, Blue",Illini,"Other, Human",5
Indiana,,Big Ten,Indiana,"Red, White",Hoosiers,"Other, Human",0
Iowa,,Big Ten,Iowa,"Yellow, Black",Hawkeyes,"Animal, Bird",4
Maryland,,Big Ten,Maryland,"Black, Gold",Terrapins,"Animal, Other",2
Michigan,,Big Ten,Michigan,"Yellow, Blue",Wolverines,"Animal, Other",16
Michigan State,,Big Ten,Michigan,"Green, White",Spartans,"Animal, Human",6
Minnesota,,Big Ten,Minnesota,"Gold, Maroon",Gophers,"Animal, Other",7
Nebraska,,Big Ten,Nebraska,"Red, White",Cornhuskers,"Other, Human",11
Northwestern,,Big Ten,Illinois,"Purple, White",Wildcats,"Animal, Cat",0
Ohio State,,Big Ten,Ohio,"Red, Gray",Buckeyes,"Other, Plant",14
Penn State,,Big Ten,Pennsylvania,"Blue, White",Nittany Lions,"Animal, Cat",7
Purdue,,Big Ten,Indiana,"Gold, Black",Boilermakers,"Animal, Human",1
Rutgers,,Big Ten,New Jersey,"Red, White",Scarlet Knights,"Animal, Human",1
Wisconsin,,Big Ten,Wisconsin,"Red, White",Badgers,"Animal, Other",1
Arizona,,Pac 12,Arizona,"Red, Blue",Wildcats,"Animal, Cat",0
Arizona State,,Pac 12,Arizona,"Yellow, Red",Sun Devils,"Other, Human",2
California,,Pac 12,California,"Yellow, Blue",Golden Bears,"Animal, Bear",5
Colorado,,Pac 12,Colorado,"Yellow, Black",Buffaloes,"Animal, Other",1
Oregon,,Pac 12,Oregon,"Green, Yellow",Ducks,"Animal, Bird",0
Oregon State,,Pac 12,Oregon,"Orange, Black",Beavers,"Animal, Other",0
Southern California,,Pac 12,California,"Red, Gold",Trojans,"Animal, Human",17
Stanford,,Pac 12,California,"Red, White",Cardinal,"Other, Color",2
UCLA,,Pac 12,California,"Blue, Gold",Bruins,"Animal, Bear",1
Utah,,Pac 12,Utah,"Red, White",Utes,"Animal, Other",0
Washington,,Pac 12,Washington,"Purple, Gold",Huskies,"Animal, Dog",4
Washington State,,Pac 12,Washington,"Red, Gray",Cougars,"Animal, Cat",0
Alabama,,SEC,Alabama,"Red, White",Crimson Tide,"Other, Color",19
Arkansas,,SEC,Arkansas,"Red, White",Razorbacks,"Animal, Other",2
Auburn,,SEC,Alabama,"Blue, Orange",Tigers,"Animal, Cat",5
Florida,,SEC,Florida,"Blue, Orange",Gators,"Animal, Other",5
Georgia,,SEC,Georgia,"Red, Black",Bulldogs,"Animal, Dog",5
Kentucky,,SEC,Kentucky,"Blue, White",Wildcats,"Animal, Cat",1
LSU,,SEC,Louisiana,"Purple, Yellow",Tigers,"Animal, Cat",8
Mississippi State,,SEC,Mississippi,"Maroon, White",Bulldogs,"Animal, Dog",0
Missouri,,SEC,Missouri,"Yellow, Black",Tigers,"Animal, Cat",2
Ole Miss,,SEC,Mississippi,"Blue, Red",Rebels,"Other, Human",3
South Carolina,,SEC,South Carolina,"Red, Black",Gamecocks,"Animal, Bird",0
Tennessee,,SEC,Tennessee,"Orange, White",Volunteers,"Other, Human",7
Texas A&M,,SEC,Texas,"Maroon, White",Aggies,"Other, Human",3
Vanderbilt,,SEC,Tennessee,"Black, Gold",Commodores,"Other, Human",0
